B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.AB.2901.03A	0.0452437691638914	0	0.014612730879594	0.0333706344117514	0	0.0704977712080831	0	0	0	0	0.03203888778962	0	0.0493019566514155	0	0	0	0	0	0.684933583306357	0	0.0700006665892877	0	0	0.608486367240204	0.796927358911959
TCGA.AB.2858.03A	0.0997946282152864	0	0.0328416021825918	0.0344151526726854	0.0246636534323814	0.099943911730915	0	0	0.0151142859859744	0	0.0196664815348087	0	0.0483580129963078	0	0	0.0241390895727172	0	0	0.539246171792817	0	0.0618170098835149	0	0.001	0.441463973451412	0.905204282107626
TCGA.AB.2853.03A	0.0782170024151687	0	0.0920591771317884	0.00931774116844193	0	0.131114299315682	0	0	0	0	0.0741473047319435	0	0.345459966883746	0	0	0.0142625223383194	0	0	0.0549422463179247	0	0.200479739696985	0	0.025	0.204793199615046	1.00813923111826
TCGA.AB.2846.03A	0.076025100950925	0	0.0353387617275989	0	0.0176892778121081	0.0292701616138522	0.00672577833697204	0	0	0	0.0399030568630134	0	0.685422154580169	0	0	0.00102994982056577	0	0	0.072495259572004	0	0.0361004987227919	0	0.01	0.294546268968863	0.997354360850492
TCGA.AB.2994.03A	0.0640769536163728	0	0.00151036399834279	0.0641413000047445	0.0629408878548361	0	0	0	0.0367999433896869	0	0.0156417402038458	0.0162835350553685	0.204428712079184	0	0	0.0151646941589332	0	0	0.445446878197163	0	0.0735649914415226	0	0.0629999999999999	0.144374732815705	1.05209685874705
TCGA.AB.2977.03B	0.0596045131065888	0.001448618051424	0	0.0819227980414328	0.00317078535122989	0.00982640894038105	0	0	0.0832649863225232	0	0.0276065437871924	0	0.638012171478525	0	0	0.0172978753295907	0	0	0.0308859709387669	0	0.0469593286523457	0	0.002	0.383387815869945	0.938683070480391
TCGA.AB.2991.03A	0.173973236119798	0	0.137926626387121	0.081873499519444	0	0.107282863920861	0	0	0.00370671561028535	0	0.0817032086200232	0	0.197863082704363	0	0	0.0069954108956314	0	0.00299331440251436	0.19264903359064	0	0.0130330082293177	0	0.118	0.10377286331411	1.05798155888933
TCGA.AB.2886.03A	0.204947348585458	0.0372383005518233	0.0231459281431569	0.045729885136059	0.0686190182304848	0.113496938606122	0	0	0	0	0.0581821948841546	0	0.0316398027745403	0	0	0.0165019659352416	0	0.000285853128575775	0.271041338573934	0	0.12917142545045	0	0.073	0.13631866768486	1.04261444186539
TCGA.AB.2806.03A	0.180347830910385	0	0.0691626573477687	0.0087118331471708	0.0305062633227821	0.134683113495992	0	0	0	0	0.00428846597845025	0	0.117162688147148	0	0	0.0489047454084508	0	0.00235416822848134	0.254745115821685	0	0.134602716110414	0.0145304020812714	0.016	0.24190032889906	0.99017371867861
TCGA.AB.2873.03A	0.0615028011758026	0	0.0279372890449462	0.0315418761522508	0.00590674278936477	0.0351803225961929	0.0068504798130589	0	0	0	0.0362488198756376	0	0.729973630964023	0	0	0.0117094719191106	0	0.00137561660097098	0.0339301636440943	0	0.0132621664718243	0.00458061895272271	0	0.478932959020878	0.887236805069539
