HLA-A01:01	HLA-A02:01	HLA-A03:01	HLA-A11:01	HLA-A24:02	HLA-A26:01	HLA-A29:02	HLA-A30:01	HLA-A30:02	HLA-A34:02	HLA-A68:02	HLA-B07:02	HLA-B08:01	HLA-B13:01	HLA-B13:02	HLA-B14:02	HLA-B15:01	HLA-B18:01	HLA-B27:02	HLA-B27:05	HLA-B38:01	HLA-B39:05	HLA-B40:01	HLA-B44:02	HLA-B44:03	HLA-B44:05	HLA-B51:01	HLA-B53:01	HLA-B55:01	HLA-B56:01	HLA-B57:01	HLA-B57:03	HLA-C01:02	HLA-C02:02	HLA-C03:03	HLA-C03:04	HLA-C04:01	HLA-C05:01	HLA-C06:02	HLA-C07:01	HLA-C07:02	HLA-C08:02	HLA-C12:03	HLA-C16:01	HLA-C18:01
HLA-A68:02	0.0151515151515152	0.333333333333333	0	0	0.151515151515152	0.303030303030303	0	0.00757575757575758	0.00757575757575758	0.0151515151515152	1	0.0303030303030303	0.113636363636364	0.0526315789473684	0.106060606060606	0.0681818181818182	0.0378787878787879	0.0757575757575758	0	0.00757575757575758	0.053030303030303	0.0606060606060606	0.0303030303030303	0.00757575757575758	0	0.0227272727272727	0.121212121212121	0.477272727272727	0.00763358778625954	0.0326086956521739	0.0303030303030303	0.0378787878787879	0.0909090909090909	0.227272727272727	0.121212121212121	0.143939393939394	0.325757575757576	0.318181818181818	0.227272727272727	0.106060606060606	0.0681818181818182	0.0681818181818182	0.196969696969697	0.0454545454545455	0.113636363636364
HLA-B07:02	0.0276073619631902	0.165644171779141	0.0245398773006135	0.00892857142857143	0.128834355828221	0.0337423312883436	0.0122699386503067	0.244239631336406	0.0429447852760736	0	0.0303030303030303	1	0.233128834355828	0.105263157894737	0.166123778501629	0.159509202453988	0.217791411042945	0.0147058823529412	0.0743801652892562	0.035031847133758	0.0368098159509202	0.0460122699386503	0.0858895705521472	0	0	0	0.0774647887323944	0.0689655172413793	0.282442748091603	0.478260869565217	0.0398773006134969	0.0552147239263804	0.141104294478528	0.141104294478528	0.377300613496933	0.226993865030675	0.0564516129032258	0.0828220858895705	0.245398773006135	0.162576687116564	0.328220858895706	0.150306748466258	0.0552147239263804	0.0402010050251256	0.0705521472392638
HLA-B08:01	0.0772058823529412	0.672301690507152	0.0523917995444191	0	0.279770444763271	0.165149544863459	0.0331262939958592	0.184331797235023	0.180281690140845	0.0101626016260163	0.113636363636364	0.233128834355828	1	0.263157894736842	0.247557003257329	0.314424635332253	0.301690507152146	0.0147058823529412	0.198347107438017	0.267515923566879	0.22089552238806	0.26457399103139	0.235668789808917	0.00865800865800866	0.0125523012552301	0.035110533159948	0.299295774647887	0.0689655172413793	0.404580152671756	0.554347826086957	0.113502935420744	0.26890756302521	0.614366729678639	0.400520156046814	0.410923276983095	0.482444733420026	0.0725806451612903	0.374251497005988	0.613784135240572	0.508452535760728	0.323797139141743	0.361516034985423	0.365159128978224	0.085427135678392	0.386215864759428
HLA-B13:01	0.0789473684210526	0.657894736842105	0.0263157894736842	0.0263157894736842	0.210526315789474	0.131578947368421	0.0263157894736842	0.0789473684210526	0.105263157894737	0	0.0526315789473684	0.105263157894737	0.263157894736842	1	0.236842105263158	0.131578947368421	0.236842105263158	0.0263157894736842	0.0263157894736842	0.0263157894736842	0.105263157894737	0.131578947368421	0.184210526315789	0	0.0789473684210526	0.105263157894737	0.0789473684210526	0.0263157894736842	0	0	0.184210526315789	0.0789473684210526	0.210526315789474	0.315789473684211	0.210526315789474	0.421052631578947	0.0526315789473684	0.210526315789474	0.421052631578947	0.184210526315789	0.394736842105263	0.0789473684210526	0.157894736842105	0.0263157894736842	0.263157894736842
HLA-B13:02	0.0651465798045603	0.687296416938111	0.0586319218241042	0.00892857142857143	0.162866449511401	0.100977198697068	0.0260586319218241	0.580645161290323	0.156351791530945	0.00325732899022801	0.106060606060606	0.166123778501629	0.247557003257329	0.236842105263158	1	0.0781758957654723	0.231270358306189	0	0.173553719008264	0.107491856677524	0.146579804560261	0.127035830618893	0.11400651465798	0.012987012987013	0.0162866449511401	0.0358306188925081	0.105633802816901	0.0459770114942529	0.0610687022900763	0.0217391304347826	0.0944625407166124	0.133550488599349	0.205211726384365	0.332247557003257	0.280130293159609	0.276872964169381	0.0443548387096774	0.283387622149837	0.671009771986971	0.286644951140065	0.322475570032573	0.175895765472313	0.254071661237785	0.0753768844221105	0.296416938110749
HLA-B14:02	0.0330882352941176	0.374392220421394	0.0182232346241458	0	0.157212317666126	0.100486223662885	0.0124223602484472	0.0414746543778802	0.0197183098591549	0.00203252032520325	0.0681818181818182	0.159509202453988	0.314424635332253	0.131578947368421	0.0781758957654723	1	0.20097244732577	0.0441176470588235	0.140495867768595	0.184713375796178	0.126418152350081	0.157212317666126	0.53484602917342	0.0649350649350649	0.0815899581589958	0.163695299837925	0.165492957746479	0.0459770114942529	0.190839694656489	0.130434782608696	0.025440313111546	0.061624649859944	0.207939508506616	0.228525121555916	0.272285251215559	0.439222042139384	0.0443548387096774	0.13614262560778	0.277147487844408	0.286871961102107	0.252836304700162	0.341977309562399	0.137353433835846	0.0402010050251256	0.173419773095624
HLA-B15:01	0.352941176470588	0.37782340862423	0.289293849658314	0.303571428571429	0.477761836441894	0.191230207064555	0.380952380952381	0.271889400921659	0.461971830985915	0.0365853658536585	0.0378787878787879	0.217791411042945	0.301690507152146	0.236842105263158	0.231270358306189	0.20097244732577	1	0.154411764705882	0.338842975206612	0.254777070063694	0.195522388059701	0.210762331838565	0.186305732484076	0.116883116883117	0.0753138075313808	0.037914691943128	0.154929577464789	0.114942528735632	0.236641221374046	0.0652173913043478	0.207436399217221	0.330532212885154	0.402646502835539	0.365503080082136	0.551724137931034	0.393630573248408	0.157258064516129	0.305389221556886	0.362422997946612	0.381107491856678	0.474332648870637	0.422740524781341	0.380234505862647	0.346733668341709	0.283582089552239
HLA-B18:01	0.0367647058823529	0.0220588235294118	0	0	0.323529411764706	0.352941176470588	0.169117647058824	0	0.0367647058823529	0.00735294117647059	0.0757575757575758	0.0147058823529412	0.0147058823529412	0.0263157894736842	0	0.0441176470588235	0.154411764705882	1	0.0165289256198347	0.00735294117647059	0.161764705882353	0.0147058823529412	0.0661764705882353	0.272058823529412	0.448529411764706	0.470588235294118	0.0220588235294118	0.551470588235294	0	0.0108695652173913	0.0441176470588235	0.0220588235294118	0.00735294117647059	0.132352941176471	0.0514705882352941	0.0147058823529412	0.330882352941176	0.0882352941176471	0.0441176470588235	0.0588235294117647	0.191176470588235	0.0147058823529412	0.0661764705882353	0.00735294117647059	0.0294117647058824
HLA-B27:02	0.0495867768595041	0.31404958677686	0.0909090909090909	0.00892857142857143	0.198347107438017	0.0743801652892562	0.0743801652892562	0.107438016528926	0.173553719008264	0	0	0.0743801652892562	0.198347107438017	0.0263157894736842	0.173553719008264	0.140495867768595	0.338842975206612	0.0165289256198347	1	0.710743801652893	0.231404958677686	0.148760330578512	0.15702479338843	0.0578512396694215	0.0578512396694215	0.0743801652892562	0.0330578512396694	0	0.0165289256198347	0	0.0826446280991736	0.132231404958678	0.140495867768595	0.40495867768595	0.264462809917355	0.181818181818182	0	0.165289256198347	0.40495867768595	0.413223140495868	0.454545454545455	0.0991735537190083	0.165289256198347	0.0330578512396694	0.181818181818182
HLA-B27:05	0.0191082802547771	0.410828025477707	0.0668789808917197	0.0267857142857143	0.168789808917197	0.114649681528662	0.035031847133758	0.0967741935483871	0.130573248407643	0.00318471337579618	0.00757575757575758	0.035031847133758	0.267515923566879	0.0263157894736842	0.107491856677524	0.184713375796178	0.254777070063694	0.00735294117647059	0.710743801652893	1	0.168789808917197	0.168789808917197	0.21656050955414	0.0303030303030303	0.0509554140127389	0.159235668789809	0.0246478873239437	0.00574712643678161	0.0152671755725191	0	0.089171974522293	0.140127388535032	0.162420382165605	0.32484076433121	0.238853503184713	0.261146496815287	0.00806451612903226	0.171974522292994	0.414012738853503	0.420382165605096	0.315286624203822	0.152866242038217	0.171974522292994	0.0100502512562814	0.219745222929936
HLA-B38:01	0.09375	0.386567164179104	0.0136674259681093	0	0.192537313432836	0.170149253731343	0.0351966873706004	0.0691244239631336	0.107042253521127	0.0040650406504065	0.053030303030303	0.0368098159509202	0.22089552238806	0.105263157894737	0.146579804560261	0.126418152350081	0.195522388059701	0.161764705882353	0.231404958677686	0.168789808917197	1	0.606875934230194	0.197452229299363	0.471861471861472	0.163179916317992	0.149253731343284	0.109154929577465	0.126436781609195	0.0305343511450382	0	0.0724070450097847	0.187675070028011	0.232514177693762	0.255223880597015	0.276119402985075	0.252238805970149	0.0725806451612903	0.483532934131737	0.302985074626866	0.235820895522388	0.441791044776119	0.219402985074627	0.314907872696817	0.0301507537688442	0.502985074626866
HLA-B39:05	0.110294117647059	0.417040358744395	0.0159453302961276	0.00892857142857143	0.197309417040359	0.119581464872945	0.010351966873706	0.0506912442396313	0.146478873239437	0.00203252032520325	0.0606060606060606	0.0460122699386503	0.26457399103139	0.131578947368421	0.127035830618893	0.157212317666126	0.210762331838565	0.0147058823529412	0.148760330578512	0.168789808917197	0.606875934230194	1	0.199044585987261	0.038961038961039	0.0146443514644351	0.0373692077727952	0.116197183098592	0.0402298850574713	0.0687022900763359	0.0108695652173913	0.0371819960861057	0.2296918767507	0.296786389413989	0.272047832585949	0.312406576980568	0.319880418535127	0.0685483870967742	0.375748502994012	0.349775784753363	0.276532137518685	0.630792227204783	0.273542600896861	0.229480737018425	0.0351758793969849	0.71898355754858
HLA-B40:01	0.102941176470588	0.398089171974522	0.0113895216400911	0.00892857142857143	0.138535031847134	0.0875796178343949	0.010351966873706	0.0506912442396313	0.0816901408450704	0.00203252032520325	0.0303030303030303	0.0858895705521472	0.235668789808917	0.184210526315789	0.11400651465798	0.53484602917342	0.186305732484076	0.0661764705882353	0.15702479338843	0.21656050955414	0.197452229299363	0.199044585987261	1	0.151515151515152	0.171548117154812	0.339171974522293	0.0387323943661972	0.0459770114942529	0.083969465648855	0.0217391304347826	0.0528375733855186	0.131652661064426	0.168241965973535	0.199044585987261	0.235668789808917	0.367834394904459	0.032258064516129	0.167197452229299	0.210191082802548	0.297770700636943	0.200636942675159	0.356687898089172	0.122278056951424	0.0251256281407035	0.186305732484076
HLA-B44:02	0.038961038961039	0.0476190476190476	0.012987012987013	0.00892857142857143	0.0432900432900433	0.41991341991342	0.19047619047619	0	0.0303030303030303	0.0173160173160173	0.00757575757575758	0	0.00865800865800866	0	0.012987012987013	0.0649350649350649	0.116883116883117	0.272058823529412	0.0578512396694215	0.0303030303030303	0.471861471861472	0.038961038961039	0.151515151515152	1	0.722943722943723	0.614718614718615	0.00432900432900433	0.0919540229885057	0	0	0.0865800865800866	0.0173160173160173	0.00432900432900433	0.186147186147186	0.0303030303030303	0.012987012987013	0.0173160173160173	0.116883116883117	0.0735930735930736	0.0779220779220779	0.0606060606060606	0.0173160173160173	0.207792207792208	0.0251256281407035	0.025974025974026
HLA-B44:03	0.0355648535564854	0.0585774058577406	0.0318906605922551	0.0178571428571429	0.0230125523012552	0.240585774058577	0.186192468619247	0.0138248847926267	0.0450704225352113	0.0104602510460251	0	0	0.0125523012552301	0.0789473684210526	0.0162866449511401	0.0815899581589958	0.0753138075313808	0.448529411764706	0.0578512396694215	0.0509554140127389	0.163179916317992	0.0146443514644351	0.171548117154812	0.722943722943723	1	0.684100418410042	0.0246478873239437	0.166666666666667	0	0	0.156903765690377	0.0644257703081232	0.00418410041841004	0.104602510460251	0.0104602510460251	0.0167364016736402	0.0120967741935484	0.0292887029288703	0.0732217573221757	0.0857740585774059	0.0502092050209205	0.0188284518828452	0.0397489539748954	0.165829145728643	0.00836820083682008
HLA-B44:05	0.00919117647058824	0.0947867298578199	0.00455580865603645	0	0.0272596843615495	0.169305724725944	0.093167701863354	0.00921658986175115	0.0197183098591549	0.0040650406504065	0.0227272727272727	0	0.035110533159948	0.105263157894737	0.0358306188925081	0.163695299837925	0.037914691943128	0.470588235294118	0.0743801652892562	0.159235668789809	0.149253731343284	0.0373692077727952	0.339171974522293	0.614718614718615	0.684100418410042	1	0.028169014084507	0.195402298850575	0	0	0.0724070450097847	0.0196078431372549	0.00945179584120983	0.0853080568720379	0.0160098522167488	0.0369426751592357	0.032258064516129	0.0344311377245509	0.0402843601895735	0.0699052132701422	0.023696682464455	0.0408163265306122	0.0402010050251256	0.0050251256281407	0.0174129353233831
HLA-B51:01	0.0352112676056338	0.475352112676056	0.0316901408450704	0	0.112676056338028	0.193661971830986	0.028169014084507	0.0552995391705069	0.0246478873239437	0	0.121212121212121	0.0774647887323944	0.299295774647887	0.0789473684210526	0.105633802816901	0.165492957746479	0.154929577464789	0.0220588235294118	0.0330578512396694	0.0246478873239437	0.109154929577465	0.116197183098592	0.0387323943661972	0.00432900432900433	0.0246478873239437	0.028169014084507	1	0.103448275862069	0.244274809160305	0.228260869565217	0.0457746478873239	0.0633802816901408	0.47887323943662	0.524647887323944	0.376760563380282	0.355633802816901	0.0483870967741935	0.313380281690141	0.433098591549296	0.246478873239437	0.183098591549296	0.235915492957746	0.309859154929577	0.050251256281407	0.288732394366197
HLA-B53:01	0.0459770114942529	0.137931034482759	0.00574712643678161	0	0.367816091954023	0.241379310344828	0.0747126436781609	0.0114942528735632	0.0402298850574713	0.0172413793103448	0.477272727272727	0.0689655172413793	0.0689655172413793	0.0263157894736842	0.0459770114942529	0.0459770114942529	0.114942528735632	0.551470588235294	0	0.00574712643678161	0.126436781609195	0.0402298850574713	0.0459770114942529	0.0919540229885057	0.166666666666667	0.195402298850575	0.103448275862069	1	0.00763358778625954	0.0543478260869565	0.0804597701149425	0.0689655172413793	0.0517241379310345	0.189655172413793	0.120689655172414	0.0919540229885057	0.477011494252874	0.304597701149425	0.132183908045977	0.0862068965517241	0.21264367816092	0.0517241379310345	0.109195402298851	0.0402298850574713	0.0747126436781609
